offer_date,ipo_name,cik,offer_price,assets_thous,total_proceeds_thous,headquarter,industry,sic_code,is_high_tech,Internet,Founding,vc_backed,first_day_price,vwretd,roll_vwretd,first_day_return,rf_fact_t07,rf_fact_t08,rf_fact_t09
2022-09-01,bioAffinity Technologies Inc,1712762,6.12,940.75,7860,TX,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8731,TRUE,0,2014,FALSE,8.3,-0.001093,-0.0522556087842381,0.35620915032679700,0.5072463768115940,0.5093457943925230,0.4951830443159920
2024-09-12,Galaxy Payroll Group Ltd,1905920,4,2770.07,7000,OVERSEAS,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",8700,FALSE,0,2021,FALSE,4.45,0.008023,-0.0160252257731778,0.11250000000000000,0.60431654676259,0.603082851637765,0.6064356435643560
2013-01-25,Bright Horizons Family Sol,1437578,22,1899603,222200,MA,SERVICES-CHILD DAY CARE SERVICES,8351,FALSE,0,1986,FALSE,28.32,0.00525,0.0248397840714729,0.2872727272727270,0.48792270531401000,0.49222797927461100,0.4807692307692310
2024-10-09,"KinderCare Learning Companies,",1873529,24,3668086,576000,OR,SERVICES-CHILD DAY CARE SERVICES,8351,FALSE,0,1969,FALSE,26.13,0.00642,0.0111937312925214,0.08875000000000000,0.4613583138173300,0.4506329113924050,0.44807121661721100
2013-11-13,Chegg,1364954,12.5,229285,187500,CA,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,1,2005,TRUE,9.68,0.008519,0.0024858650647186,-0.2256,0.5277777777777780,0.5228628230616300,0.5195121951219510
2014-03-26,Nord Anglia Education,1492966,16,1126000,304000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,1972,FALSE,18,-0.008153,-0.0119197014656905,0.125,0.5405405405405410,0.5289473684210530,0.46534653465346500
2017-02-01,Laureate Education Inc,912766,14,7508457,490000,MD,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,1998,FALSE,13.25,2.82E-04,0.00689732857964431,-0.05357142857142860,0.6097328244274810,0.6066252587991720,0.5809018567639260
2018-09-26,Arco Platform Ltd,1740594,17.5,106934,194444.443,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,2004,TRUE,23.5,-0.004024,0.00477348133068434,0.34285714285714300,0.5467479674796750,0.5397849462365590,0.4946808510638300
2019-04-30,Wah Fu Education Group Ltd,1716770,5,9219.48,10000,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,1,1999,FALSE,4.1,3.58E-04,0.0148597059229774,-0.18000000000000000,0.5443959243085880,0.5396578538102640,0.5157116451016640
2019-07-19,Afya Ltd,1771007,19,237054.31,261140,OVERSEAS,SERVICES-EDUCATIONAL SERVICES,8200,FALSE,0,1999,FALSE,24.09,-0.005612,0.0255845166979292,0.26789473684210500,0.6254980079681280,0.620199146514936,0.559322033898305
